input_text,target_text
這件事她真的非常生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她真的無敵生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她真的十分生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的很生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她很生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的超級生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的超級無敵生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的超生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的非常生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的無敵生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這事她真的十分生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
安安你好,哈囉，你好
安安,哈囉，你好
安,哈囉，你好
嗨,哈囉，你好
嗨嗨,哈囉，你好
嗨嗨你好,哈囉，你好
你這樣真的很母湯,你這樣真的很不行
這樣真的很母湯,這樣真的很不行
你真的很母湯,你真的很不行
你這樣很母湯,你這樣很不行
你這樣真的非常母湯,你這樣真的很不行
你這樣真的超母湯,你這樣真的很不行
你這樣真的十分母湯,你這樣真的很不行
你這樣真的超級無敵母湯,你這樣真的很不行
你這樣真的無敵母湯,你這樣真的很不行
你這樣真的超級母湯,你這樣真的很不行
她這樣真的很母湯,她這樣真的很不行
她真的很母湯,她真的很不行
她這樣很母湯,她這樣很不行
她這樣真的非常母湯,她這樣真的很不行
她這樣真的超母湯,她這樣真的很不行
她這樣真的十分母湯,她這樣真的很不行
她這樣真的超級無敵母湯,她這樣真的很不行
她這樣真的無敵母湯,她這樣真的很不行
她這樣真的超級母湯,她這樣真的很不行
他這樣真的很母湯,他這樣真的很不行
他真的很母湯,他真的很不行
他這樣很母湯,他這樣很不行
他這樣真的非常母湯,他這樣真的很不行
他這樣真的超母湯,他這樣真的很不行
他這樣真的十分母湯,他這樣真的很不行
他這樣真的超級無敵母湯,他這樣真的很不行
他這樣真的無敵母湯,他這樣真的很不行
他這樣真的超級母湯,他這樣真的很不行
妳這樣真的很母湯,妳這樣真的很不行
妳真的很母湯,妳真的很不行
妳這樣很母湯,妳這樣很不行
妳這樣真的非常母湯,妳這樣真的很不行
妳這樣真的超母湯,妳這樣真的很不行
妳這樣真的十分母湯,妳這樣真的很不行
妳這樣真的超級無敵母湯,妳這樣真的很不行
妳這樣真的無敵母湯,妳這樣真的很不行
妳這樣真的超級母湯,妳這樣真的很不行
乾你屁事,關你什麼事
干你屁事,關你什麼事
乾她屁事,關她什麼事
干她屁事,關她什麼事
乾他屁事,關他什麼事
干他屁事,關他什麼事
乾我屁事,關我什麼事
干我屁事,關我什麼事
乾你,關你什麼事
干你,關你什麼事
乾她,關她什麼事
干她,關她什麼事
乾他,關他什麼事
干他,關他什麼事
乾我,關我什麼事
干我,關我什麼事
你踹共,你出來說
她踹共,她出來說
你們踹共,你們出來說
他們踹共,他們出來說
他踹共,出來說
踹共,他出來說
踹共啦,出來說啦
今天的天氣真的是太熱了我都快要融化了,今天的天氣真的太熱了，我都快要融化了
我都快要融化了今天的天氣真的是太熱了,我都快要融化了，今天的天氣真的太熱了
今天的天氣真的是太熱了他都快要融化了,今天的天氣真的太熱了，他都快要融化了
他都快要融化了今天的天氣真的是太熱了,他都快要融化了，今天的天氣真的太熱了
今天的天氣真的是太熱了她都快要融化了,今天的天氣真的太熱了，她都快要融化了
她都快要融化了今天的天氣真的是太熱了,她都快要融化了，今天的天氣真的太熱了
今天的天氣真的是太熱了她們都快要融化了,今天的天氣真的太熱了，她們都快要融化了
她們都快要融化了今天的天氣真的是太熱了,她們都快要融化了，今天的天氣真的太熱了
今天的天氣真的是太熱了它都快要融化了,今天的天氣真的太熱了，它都快要融化了
它都快要融化了今天的天氣真的是太熱了,它都快要融化了，今天的天氣真的太熱了
今天的天氣真的是太熱了它們都快要融化了,今天的天氣真的太熱了，它們都快要融化了
它們都快要融化了今天的天氣真的是太熱了,它們都快要融化了，今天的天氣真的太熱了
今天的天氣真的是太熱了他們都快要融化了,今天的天氣真的太熱了，他們都快要融化了
他們都快要融化了今天的天氣真的是太熱了,他們都快要融化了，今天的天氣真的太熱了
剛剛看到一個超好笑的影片笑到不行,剛剛看到一個超好笑的影片，笑到不行
剛剛看到一個超好笑的影片笑到爆,剛剛看到一個超好笑的影片，笑到不行
剛剛看到一個超好笑的影片笑死,剛剛看到一個超好笑的影片，笑到不行
剛剛看到一個超好笑的影片笑吐了,剛剛看到一個超好笑的影片，笑到不行
剛剛看到一個超好笑的影片笑嘔了,剛剛看到一個超好笑的影片，笑到不行
我剛剛看到一個超好笑的影片笑到不行,我剛剛看到一個超好笑的影片，笑到不行
我剛剛看到一個超好笑的影片笑到爆,我剛剛看到一個超好笑的影片，笑到不行
我剛剛看到一個超好笑的影片笑死,我剛剛看到一個超好笑的影片，笑到不行
我剛剛看到一個超好笑的影片笑吐了,我剛剛看到一個超好笑的影片，笑到不行
我剛剛看到一個超好笑的影片笑嘔了,我剛剛看到一個超好笑的影片，笑到不行
他們剛剛看到一個超好笑的影片笑到不行,他們剛剛看到一個超好笑的影片，笑到不行
他們剛剛看到一個超好笑的影片笑到爆,他們剛剛看到一個超好笑的影片，笑到不行
他們剛剛看到一個超好笑的影片笑死,他們剛剛看到一個超好笑的影片，笑到不行
他們剛剛看到一個超好笑的影片笑吐了,他們剛剛看到一個超好笑的影片，笑到不行
他們剛剛看到一個超好笑的影片笑嘔了,他們剛剛看到一個超好笑的影片，笑到不行
他剛剛看到一個超好笑的影片笑到不行,他剛剛看到一個超好笑的影片，笑到不行
他剛剛看到一個超好笑的影片笑到爆,他剛剛看到一個超好笑的影片，笑到不行
他剛剛看到一個超好笑的影片笑死,他剛剛看到一個超好笑的影片，笑到不行
他剛剛看到一個超好笑的影片笑吐了,他剛剛看到一個超好笑的影片，笑到不行
他剛剛看到一個超好笑的影片笑嘔了,他剛剛看到一個超好笑的影片，笑到不行
她們剛剛看到一個超好笑的影片笑到不行,她們剛剛看到一個超好笑的影片，笑到不行
她們剛剛看到一個超好笑的影片笑到爆,她們剛剛看到一個超好笑的影片，笑到不行
她們剛剛看到一個超好笑的影片笑死,她們剛剛看到一個超好笑的影片，笑到不行
她們剛剛看到一個超好笑的影片笑吐了,她們剛剛看到一個超好笑的影片，笑到不行
她們剛剛看到一個超好笑的影片笑嘔了,她們剛剛看到一個超好笑的影片，笑到不行
她剛剛看到一個超好笑的影片笑到不行,她剛剛看到一個超好笑的影片，笑到不行
她剛剛看到一個超好笑的影片笑到爆,她剛剛看到一個超好笑的影片，笑到不行
她剛剛看到一個超好笑的影片笑死,她剛剛看到一個超好笑的影片，笑到不行
她剛剛看到一個超好笑的影片笑吐了,她剛剛看到一個超好笑的影片，笑到不行
她剛剛看到一個超好笑的影片笑嘔了,她剛剛看到一個超好笑的影片，笑到不行
我們剛剛看到一個超好笑的影片笑到不行,我們剛剛看到一個超好笑的影片，笑到不行
我們剛剛看到一個超好笑的影片笑到爆,我們剛剛看到一個超好笑的影片，笑到不行
我們剛剛看到一個超好笑的影片笑死,我們剛剛看到一個超好笑的影片，笑到不行
我們剛剛看到一個超好笑的影片笑吐了,我們剛剛看到一個超好笑的影片，笑到不行
我們剛剛看到一個超好笑的影片笑嘔了,我們剛剛看到一個超好笑的影片，笑到不行
他是yyds,他是永遠的神
你是yyds,你是永遠的神
我們是yyds,我們是永遠的神
我是yyds,我是永遠的神
她是yyds,她是永遠的神
她們是yyds,她們是永遠的神
它是yyds,它是永遠的神
它們是yyds,它們是永遠的神
他們是yyds,他們是永遠的神
你們是yyds,你們是永遠的神
yyds,永遠的神
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你們做的這件事我給87分，不能再高了,你們做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
你做的這件事我給87分，不能再高了,你做這件事真的很白癡
已知用火,落伍
我已知用火,你落伍
沒圖沒真相,請求圖片支援
我給你跪了,我超尊敬你
她給你跪了,她超尊敬你
她們給你跪了,她們超尊敬你
他給你跪了,他超尊敬你
他們給你跪了,他們超尊敬你
我們給你跪了,我們超尊敬你
我給他跪了,我超尊敬他
她給他跪了,她超尊敬他
她們給他跪了,她們超尊敬他
他們給他跪了,他們超尊敬他
我們給他跪了,我們超尊敬他
我給她跪了,我超尊敬她
他給她跪了,他超尊敬她
他們給她跪了,他們超尊敬她
我們給她跪了,我們超尊敬她
我昨天去超市買了牛奶麵包還有雞蛋,我昨天去超市買了牛奶、麵包和雞蛋
他說他會來但是他沒有來,他說他會來，但他沒有來
貼臉開大,在面前直戳痛點
我被這場表演硬控了,我被這場表演吸引了
你被這場表演硬控了,你被這場表演吸引了
我們被這場表演硬控了,我們被這場表演吸引了
你們被這場表演硬控了,你們被這場表演吸引了
她被這場表演硬控了,她被這場表演吸引了
她們被這場表演硬控了,她們被這場表演吸引了
他被這場表演硬控了,他被這場表演吸引了
他們被這場表演硬控了,他們被這場表演吸引了
我真的破防了,我真的超級難過的
我真的破房了,我真的超級難過的
我真的玻璃心了,我真的超級難過的
她真的破防了,她真的超級難過的
她真的破房了,她真的超級難過的
她真的玻璃心了,她真的超級難過的
你真的破防了,你真的超級難過的
你真的破房了,你真的超級難過的
你真的玻璃心了,你真的超級難過的
你們真的破防了,你們真的超級難過的
你們真的破房了,你們真的超級難過的
你們真的玻璃心了,你們真的超級難過的
我們真的破防了,我們真的超級難過的
我們真的破房了,我們真的超級難過的
我們真的玻璃心了,我們真的超級難過的
她們真的破防了,她們真的超級難過的
她們真的破房了,她們真的超級難過的
她們真的玻璃心了,她們真的超級難過的
他們真的破防了,他們真的超級難過的
他們真的破房了,他們真的超級難過的
他們真的玻璃心了,他們真的超級難過的
他真的破防了,他真的超級難過的
他真的破房了,他真的超級難過的
他真的玻璃心了,他真的超級難過的
真嘟,真的
假嘟,假的
真滴,真的
假滴,假的
真嘟假嘟,真的假的
真滴假滴,真的假的
好嘟,好的
好滴,好的
我真的興奮到模糊,我真的超級興奮
他真的興奮到模糊,他真的超級興奮
他們真的興奮到模糊,他們真的超級興奮
你真的興奮到模糊,你真的超級興奮
你們真的興奮到模糊,你們真的超級興奮
她真的興奮到模糊,她真的超級興奮
她們真的興奮到模糊,她們真的超級興奮
你是我的神,我超尊敬你
你是她們的神,她們超尊敬你
你是她的神,她超尊敬你
你是他的神,他超尊敬你
你是他們的神,他們超尊敬你
你是我們的神,我們超尊敬你
我是你的神,你超尊敬我
我是她們的神,她們超尊敬我
我是她的神,她超尊敬我
我是他的神,他超尊敬我
我是他們的神,他們超尊敬我
我是我們的神,我們超尊敬我
我是E人,我很外向
我是I人,我很內向
你是E人,你很外向
你是I人,你很內向
你們是E人,你們很外向
你們是I人,你們很內向
我們是E人,我們很外向
我們是I人,我們很內向
他們是E人,他們很外向
他們是I人,他們很內向
他是E人,他很外向
他是I人,他很內向
她是E人,她很外向
她是I人,她很內向
她們是E人,她們很外向
她們是I人,她們很內向
你是F人,你很感性
你是T嗎?,你不會共情嗎?
你是T人,你很理性
觸，我完全同意,True，我完全同意
你真的很普信耶,你真的很自戀耶
你不要碰我，我今天很躁,你不要碰我，我今天很煩躁
他真的超解的,他真的超讓人反感的
他真的很下頭,他真的超讓人反感的
我今天很嘻嘻,我今天很開心
我今天不嘻嘻,我今天不開心
他真的是個魯蛇,他真的很失敗
你長得好像8+9喔,你長得好像混混喔
他真的很猴耶,他真的很屁耶
你不要再發月經文了,你不要再發流水帳了
我踩到黃金了,我踩到屎了
你真的躺著也中槍,你真的沒做什麼也受傷
啊你不就好棒棒,你一點都不厲害
聽君一席話，如聽一席話,你在說廢話
八嘎牙囉,笨蛋
咩噗,哦
你不要再跟我543了,你不要再跟我說廢話了
這間店真的超頂,這間店真的頂尖好
這間店真的超推,這間店真的超推薦
我絕美的精神狀態,我快瘋了
瑪卡巴卡,晚安
我沒了,我完了
我被你種草了,我被你說服想買了
我被你推坑了,我被你說服想買了
我被你燒到了,我被你說服想買了
我被你拔草了,我被你說服不想買了
我的心情超chill的,我的心情超放鬆的
BBQ了,完蛋了
你不要走心,你不要生氣難過
他真的很木頭耶,他真的很不知變通耶
你比電線桿還直,你絕對異性戀
我可以發限動嗎?,我可以發限時動態嗎?
你真的是高玩,你真的是高端玩家
PUA大師,情緒勒索大師
情勒,情緒勒索
今晚要群通嗎?,今天晚上要群組通話嗎?
今晚要掛睡嗎?,今天晚上要打電話睡覺嗎?
我是社畜,我是上班族
他真的是我的天菜,他真的是我的理想型
看到她我露出了姨母笑,看到她我露出了慈祥的笑
弄點宵夜778,弄點宵夜吃吃吧
我走了886,我走了掰掰囉
出來輸贏,出來打架
你說的這句話是史密斯,你說的話是什麼意思
甘阿捏,是這樣嗎?
祝妳生快,祝妳生日快樂
康撒哈咪搭,感謝
肯恰拿,沒關係
巴拿拿,香蕉
你不要內卷我,你不要內鬥我
我不造啊,我不知道啊
你不要醬子,你不要這樣子
吃飯了沒啊？我等你等很久了,吃飯了嗎？我等你很久了
你今天是不是沒吃飽，怎麼這麼快就肚子餓？,你今天是不是沒吃飽？怎麼這麼快就肚子餓了？
這個問題我們昨天不是已經討論過了嗎？為什麼還會有問題呢？,這個問題我們昨天不是已經討論過了嗎？為什麼還會有疑問？
你看起來很累，是不是昨天晚上又打到很晚？,你看起來很累，是不是昨天晚上又打遊戲到很晚？
我覺得這部電影真的很好看，真的值得推薦給你,我覺得這部電影很好看，很值得推薦給你
這件衣服看起來很好看，但是穿起來有點怪怪的,這件衣服看起來不錯，但穿起來有點怪
你最近怎麼都不見人影，是不是發生什麼事?,你最近怎麼都沒看到你，是不是發生什麼事了？
這個咖啡喝起來很苦，我不喜歡這種味道,這咖啡很苦，我不喜歡這種味道
你今天穿的這件衣服顏色有點太亮了吧！,你今天穿的衣服顏色有點太亮了！
我們一起去吃飯，等一下再去逛街吧！,我們先去吃飯，等一下再去逛街吧！
這次旅行真的很好玩，下次我們還要一起去,這次旅行很好玩，下次我們要再一起去
我朋友跟我說他最近找到了一個很棒的工作,我朋友說他最近找到一個很棒的工作
聽說這家店的餐點很好吃，我們下次去試試看,聽說這家店餐點很好吃，下次我們去試試
這麼晚了你還不回家，是不是有什麼事情發生？,這麼晚了你還不回家，是不是發生什麼事了？
他跟我說他明天要去台北找朋友玩一下,他說他明天要去台北找朋友玩
我因該早點睡覺。,我應該早點睡覺。
這個問題我以經解決了。,這個問題我已經解決了。
他在公司裡工作得非常認真且努力。,他在公司裡工作非常認真努力。
你可以在一次說明一下嗎？,你可以再一次說明一下嗎？
我們明天要去爬山了對嗎。,我們明天要去爬山，對嗎？
他今天沒來上課，可能是有什麼事把。,他今天沒來上課，可能是有什麼事吧。
這件事情我以經處理好了。,這件事情我已經處理好了。
我吐了都,我承受不住了
我跟他不熟，我不太清楚他的情況。,我和他不是很熟，我不太清楚他的情況。
她不但聰明，而且也很用功。,她不但聰明，也很用功。
那個電影真地很好看。,那部電影真的很好看。
請你再幫我看一看，我不太確。,請你幫我再看一看，我不太確定對不對。
我昨天有去超市買菜和水果。,我昨天去超市買了菜和水果。
你吃飯了沒有？,你吃飯了嗎？
天氣好像要下雨，我們快點走比較好。,天氣好像要下雨了，我們快點走比較好。
我不知道這件事是怎麼發生的了。,我不知道這件事是怎麼發生的。
你什麼時候要去學校報到啊？,你什麼時候要去學校報到？
我們昨天去看了那個新的電影了。,我們昨天去看了那部新電影。
他每次說話都很不小心容易得罪人。,他每次說話都不小心，很容易得罪人。
老師講話太快了我聽不太懂。,老師講話太快了，我聽不太懂。
我有看道。,我有看到。
這邊為您做一個結帳的動作。,這邊幫您結帳。
我先不用。,我不用。
這件事情可能不太一定會發生。,這件事情不一定會發生。
就跟你說了先不要,我有請你不要這麼做
他大概非常有可能會遲到,他有可能會遲到
我們需要重新再一次思考。,我們需要再思考一次
請你提早先準備好。,請你提早準備。
今天路上真的是塞爆,今天路上塞車很嚴重
我自己親手做的蛋糕。,我親手做的蛋糕。
你到底有什麼破病?,你有什麼問題?
你的感冒好點沒有?,你的感冒有好一點嗎?
他昨天有回來家裡了,他昨天回家了  
我朋友跟我講說他明天要來。,我朋友說他明天要來
不能說一模一樣，只能說毫不相關,這兩件事情完全沒有關係
他做這件事很解,他做這件事很掃興
觸爛,TRUE
不可能這麼好看吧,這個很好看
幫你做結帳的動作,幫你結帳
我沒了,我被懾服了
郭我屁四,關我什麼事
你還有優越感喔,你有什麼了不起
你很猴耶,你很幼稚耶
我快道了,我快到了
純純的無語住了,我無話可說
不要再跟我那邊543,不要再跟我說廢話了
瞎逼逼,說廢話
你不要旋轉我,你不要耍我
你很盤,你東西買貴了
北車,台北車站
你是在哈囉,你是在說什麼
這個真的絕了,這個真的很厲害
我是什麼很賤的人嗎,我怎麼這麼倒楣
到底三小,到底什麼意思
是在靠北,是在抱怨什麼
我嘴巴沙漠,我口渴了
我都被你氣笑了,我對妳十分傻眼，氣極反笑
我是要等到猴年馬月,我等的非常久了
這家店真的很頂,這家店真的很棒
我破防,我非常難過沮喪
已購買，小孩愛吃,我非常認同這個
家人們，誰懂阿?,我要跟大家分享一件事
已讀亂回,亂講話
這個很便,這個很便宜
這個真的貴爛,這個真的非常貴
嘎嘎好吃,非常好吃
被嘎了,被殺了
笑不活了,超級好笑
這個東西質量很好,這個東西品質很好
這場演講含金量很高,這場演講讓人受益良多
我在用一次,我再用一次
不揪,不找我一起
不能說毫不相關，只能說一模一樣,看起來一模一樣
被祖,被平台封禁
嘻嘻,非常開心
不嘻嘻,非常不開心
我活人微死,我精疲力竭
聽君一席話，如聽一席話,講廢話
這個影片巨好看,這個影片非常好看
我不行了,我承受不住了
你不要情勒我,你不要情緒勒索我
電影很好看，推推,電影很好看，我非常推薦
早八的課我起不來,早上八點的課，我起不了床
是在哭喔,是在叫什麼
手機一直沒電真的很煩我明明早上才充滿的,手機一直沒電真的很煩，我明明早上才充滿的
昨天那部電影真的超好看我覺得你一定會喜歡,昨天那部電影真的超好看，我覺得你一定會喜歡
為什麼假日過得那麼快我根本還沒休息夠就又要上班了,為什麼假日過得那麼快?我根本還沒休息夠就又要上班了
你那個文件交了嗎我剛剛看到主管在問進度,你那個文件交了嗎?我剛剛看到主管在問進度
下午有點想喝飲料但我又在控制糖份真的很掙扎,下午有點想喝飲料但我又在控制糖份，真的很掙扎
昨晚睡得很差整晚都在做奇怪的夢,昨晚睡得很差，整晚都在做奇怪的夢
今天遇到一個很熱情的店員我反而不知道怎麼回應,今天遇到一個很熱情的店員，我反而不知道怎麼回應
你那雙鞋很好看在哪裡買的我也想要一雙,你那雙鞋很好看!在哪裡買的?
你今天看起來很累是沒睡好還是工作太多,你今天看起來很累，是沒睡好?還是工作太多?
你知道嗎我今天在路上差點撞到一個突然衝出來的小朋友,你知道嗎?我今天在路上差點撞到一個突然衝出來的小朋友
早餐如果能每天都有人幫我準備就太幸福了,如果能每天都有人幫我準備早餐，就太幸福了
剛剛走路滑手機結果差點撞到路燈真的太丟臉了,剛剛走路滑手機，結果差點撞到路燈，真的太丟臉了
我在想明天要不要請假因為今天真的累到不行,我在想明天要不要請假，因為今天真的累到不行
你有沒有推薦的影集最近想找點輕鬆的東西看,你有沒有推薦的影集?最近想找點輕鬆的東西看
你中午想吃什麼?我有點想吃拉麵,你中午想吃什麼?我有點想吃拉麵
今天天氣熱死了！,今天的天氣真的很熱。
這劇真的推爆！！,這部劇真的很值得推薦。
覺得很可以,我覺得這個很好
這也太ㄎㄧㄤ了吧,這實在太無厘頭了。
吃土中QQ,我沒有錢了。
我原地去世,我尷尬的要死
爆哭中,我哭得很厲害。
